order_id,customer_id,order_date,order_status
1,1,2021-07-17,Completed
2,1,2024-10-14,Completed
3,2,2022-03-22,Completed
4,2,2022-01-01,Completed
5,4,2021-01-04,Cancelled
6,4,2023-04-20,Completed
7,4,2023-03-08,Completed
8,4,2022-04-02,Completed
9,4,2023-05-18,Completed
10,4,2024-03-21,Completed
11,5,2022-09-21,Completed
12,6,2024-02-09,Completed
13,6,2021-02-20,Completed
14,7,2022-10-25,Completed
15,7,2024-08-15,Completed
16,8,2022-02-13,Completed
17,8,2023-10-08,Completed
18,8,2021-07-04,Completed
19,9,2024-12-13,Completed
20,9,2022-04-09,Returned
21,9,2022-04-12,Completed
22,10,2024-02-21,Completed
23,10,2021-08-28,Returned
24,10,2022-07-18,Completed
25,10,2024-03-05,Completed
26,11,2024-06-09,Completed
27,11,2024-10-07,Completed
28,11,2023-12-09,Cancelled
29,11,2021-03-19,Completed
30,11,2023-06-02,Completed
31,11,2024-09-08,Returned
32,12,2023-11-19,Completed
33,12,2022-08-16,Completed
34,12,2023-06-19,Completed
35,12,2021-10-26,Completed
36,12,2022-01-21,Completed
37,13,2024-04-28,Completed
38,14,2023-02-11,Completed
39,14,2022-05-31,Completed
40,14,2023-12-23,Completed
41,14,2023-01-25,Completed
42,15,2023-06-11,Returned
43,15,2023-11-27,Completed
44,16,2021-03-17,Completed
45,16,2021-06-06,Completed
46,16,2022-05-23,Completed
47,17,2022-07-07,Returned
48,17,2021-01-26,Completed
49,18,2023-04-03,Cancelled
50,18,2023-04-28,Completed
51,18,2021-01-02,Completed
52,19,2024-09-10,Cancelled
53,19,2022-10-27,Completed
54,19,2021-11-10,Completed
55,19,2023-06-09,Completed
56,20,2022-06-12,Completed
57,20,2023-03-20,Completed
58,20,2022-03-24,Completed
59,20,2022-06-01,Completed
60,21,2022-02-26,Completed
61,21,2022-06-24,Completed
62,21,2021-01-11,Completed
63,22,2023-09-02,Completed
64,22,2022-05-14,Completed
65,23,2024-10-25,Completed
66,23,2024-01-03,Completed
67,24,2023-10-23,Completed
68,24,2023-09-30,Completed
69,26,2021-10-09,Completed
70,26,2024-11-21,Completed
71,27,2023-07-26,Completed
72,27,2022-08-28,Completed
73,27,2022-06-19,Completed
74,28,2022-01-07,Completed
75,28,2023-01-20,Completed
76,29,2021-03-13,Returned
77,30,2024-08-07,Completed
78,30,2024-09-07,Completed
79,30,2024-11-30,Completed
80,30,2022-01-30,Completed
81,30,2023-01-07,Completed
82,30,2022-10-01,Completed
83,31,2024-02-01,Completed
84,31,2023-02-20,Returned
85,32,2024-10-09,Completed
86,32,2021-04-06,Completed
87,33,2023-08-03,Completed
88,33,2023-05-09,Completed
89,33,2022-07-05,Completed
90,33,2024-08-29,Completed
91,33,2022-09-08,Completed
92,34,2023-05-02,Completed
93,35,2022-01-01,Completed
94,35,2024-11-14,Returned
95,35,2022-05-01,Completed
96,35,2021-03-26,Completed
97,36,2022-07-07,Completed
98,36,2021-06-01,Returned
99,36,2024-07-04,Completed
100,36,2023-03-28,Completed
101,36,2022-01-04,Completed
102,37,2022-03-06,Returned
103,37,2022-04-24,Completed
104,37,2021-02-16,Completed
105,38,2021-10-11,Returned
106,39,2022-12-13,Completed
107,39,2022-07-17,Completed
108,39,2022-07-18,Completed
109,40,2022-02-11,Completed
110,40,2023-09-13,Completed
111,40,2023-02-01,Completed
112,40,2023-11-17,Completed
113,41,2021-03-24,Completed
114,41,2021-07-13,Completed
115,41,2024-11-17,Completed
116,42,2022-03-05,Completed
117,42,2021-10-03,Completed
118,42,2024-10-07,Completed
119,42,2024-11-28,Completed
120,42,2023-07-05,Completed
121,43,2022-06-12,Completed
122,43,2021-02-01,Completed
123,43,2022-01-09,Completed
124,43,2023-09-06,Completed
125,44,2021-11-09,Completed
126,44,2022-10-27,Completed
127,44,2023-06-14,Completed
128,44,2022-01-16,Returned
129,44,2022-08-15,Completed
130,45,2023-04-25,Completed
131,45,2021-12-16,Completed
132,45,2022-04-10,Returned
133,45,2021-02-25,Completed
134,46,2021-08-29,Completed
135,46,2024-09-23,Completed
136,46,2021-06-09,Completed
137,46,2021-07-11,Completed
138,46,2021-02-14,Completed
139,46,2022-02-22,Returned
