customer_id,recency,frequency,monetary,segment_k
1,78,2,62.68,0
2,1015,2,309.13,3
4,285,5,534.69,2
5,832,1,134.83,0
6,326,2,814.05,3
7,138,2,143.99,3
8,450,3,392.49,3
9,18,2,243.76,1
10,301,3,900.77,2
11,85,4,789.02,2
12,408,5,1662.3400000000001,2
13,247,1,142.97,0
14,374,4,787.25,2
15,400,1,16.64,0
16,953,3,512.01,3
17,1435,1,62.54,0
18,613,2,314.92,3
19,571,3,817.3199999999999,2
20,652,4,577.36,2
21,921,3,454.03,3
22,486,2,275.59,3
23,67,2,611.18,1
24,435,2,155.07,3
26,40,2,176.41,1
27,524,3,592.05,3
28,711,2,336.7,3
30,31,6,1553.42,1
31,334,1,104.37,0
32,83,2,342.86,1
33,124,5,1186.6299999999999,2
34,609,1,12.42,0
35,975,3,592.67,3
36,180,4,1336.22,2
37,982,2,694.97,3
39,749,3,384.93,3
40,410,4,452.52,2
41,44,3,143.04,1
42,33,5,872.77,1
43,482,4,1036.85,2
44,566,4,644.69,2
45,616,3,440.96,3
46,99,9,1118.5900000000001,2
47,653,1,172.77,0
48,165,4,1024.74,2
49,856,4,738.1800000000001,2
50,52,2,306.46,1
51,475,4,593.25,2
52,497,3,686.65,3
53,44,3,497.16,1
54,24,7,656.53,1
55,115,2,350.67,3
56,307,3,390.3,3
57,140,5,791.8100000000001,2
58,567,4,443.78,2
59,470,2,197.61,3
60,814,3,431.59999999999997,3
61,209,2,216.36,3
62,242,4,527.67,2
63,1132,2,349.15,3
64,395,1,103.24,0
65,344,4,679.3299999999999,2
66,401,3,775.49,2
67,617,4,489.02,2
68,1164,1,187.5,0
69,18,5,349.02,1
70,310,3,678.16,2
71,242,4,766.12,2
73,184,2,307.08,3
74,126,4,213.9,1
75,257,3,560.86,3
77,26,1,190.92,1
78,757,1,161.45,0
79,36,1,62.16,0
80,383,1,123.37,0
81,23,1,203.45,1
82,121,1,62.72,0
83,434,5,1142.3200000000002,2
84,14,5,391.93,1
85,1323,1,31.44,0
86,963,2,153.59,0
87,532,1,409.18,3
88,64,4,617.67,1
89,429,3,627.88,3
90,236,8,1155.14,2
